Input,Prediction,Target
arkis,அர்கிக்,அர்கிஸ்
maembaalam,மேம்பாலம்,மேம்பாலம்
vechchitteengaley,வெச்சிட்க்க்கள்்,வெச்சிட்டீங்களே
vaathittu,வாதிடுடு,வாதிட்டு
cakkarattai,கக்கர்டடட,சக்கரத்தை
sonwani,சொன்னவனன,சோன்வானி
panitthaan,பணித்தான்,பணித்தான்
cranston,கிரந்த்்ன்,கிரான்ஸ்டான்
jinivaa,ஜினிவா,ஜினிவா
kanavanin,கணவனின்,கணவனின்
bakthakedigal,பக்கட்கள்ள்,பக்தகேடிகள்
kulanggalin,குலங்களின்,குளங்களின்
parppavar,பற்பப்ரர்,வேலைப்
idharkellam,இதக்கிலலல்்,இதற்கெல்லாம்
adankiyuzhzha,அடங்கியுமு,அடங்கியுள்ள
latchiyaththirgum,லட்சியத்திததக்ு்,இலட்சத்திற்கும்
piridhoru,பிதிருரு,பிறிதொரு
thanggumidam,தங்கும்டம்,தங்குமிடம்
railway,ரைய்வவ,ரெயில்வே
aerpadavillai,ஏற்படிலலலல்,ஏற்படவில்லை
vipaththin,விதத்தின்,விபத்தின்
polavo,போலவல,போலவோ
maheshh,மகாச்,மகேஷ்
varunthaan,வருந்தான்,வருந்தான்
aanaiya,ஆணைய,ஆணைய
noolum,நூலும்,நூலும்
erickson,எரிக்கின்,எரிக்சன்
aarampiththullathu,ஆரம்பிதுத்துதும்,ஆரம்பித்துள்ளது
asija,அசிசா,அசிஜா
katch,கட்்,கட்ச்
maiyamaaka,மையாகக,மையமாக
kooppaiyil,கோப்பையில்,கோப்பையில்
kuuttankal,குட்டங்கள்,கூட்டங்கள்
sernthuvittiruntha,செர்ந்துவிடுவின்ன்,சேர்ந்துவிட்டிருந்த
teta,தெட்்,டாடா
aanaimalai,ஆணைமைை,ஆனைமலை
yuneskoavin,யுனோக்கிவின்,யுனெஸ்கோவின்
varaaga,வராக,வராக
vandhirundhanar,வந்திருந்ந்ன்,வந்திருந்தனர்
rajgarh,ரா்்கர்,ரஜ்கர்
munnetukka,முன்ணிட்குக்,முன்னெடுக்க
kkul,குகோல்,க்குள்
kallaala,கல்லல்,கல்லால
lee,லீய்,லீ
thittamittullaar,திட்டமிக்க்்்்்்்,திட்டமிட்டுள்ளார்
thaervil,தேர்வில்,தேர்வில்
muguthuvali,முகுதுவவல,முகுதுவலி
mansfield,மன்்சில்ட்ல்,மேன்ஸ்ஃபீல்ட்
kaiyaal,கையால்,கையாள்
aana,ஆனன்,ஆன்
kudayyil,குடலிலி,குடையில்
sollra,சொல்லார,சொல்ற
itarsi,இேர்சி,இடார்சி
kirishthavarkalin,கிரித்தவ்்்கக்்,கிறித்தவர்களின்
adumattumalla,அடுமட்டுமலல்,அதுமட்டுமல்ல
shajapur,ஷசஜபரரர,சஜாபூர்
colii,கோளிய,கோலி
saethamadainththana,சேதததத்தனன்,சேதமடைந்தன
matriyirunthathaagavum,மற்றியிதுதததாாாம்,மாற்றியிருந்ததாகவும்
shaavai,வாவை,ஷாவை
panimanai,பணிமைை,பணிமனை
saliththollaikaana,சலித்திள்களளள்,சளித்தொல்லைக்கான
chitranshi,சிற்றன்ன்,சித்ரான்ஷி
narampukal,நரம்புகள்,நரம்புகள்
andri,அன்றி,அன்றி
kaithal,கைதல்,கைதல்
ananrtham,அனந்தமாம்,அனர்த்தம்
cork,கோர்க்,கார்க்
beepi,பீப்ப,பீபி
sasanka,சாங்க,சசாங்கா
under,உண்டரர,அண்டர்
yoagaththin,யோகத்தின்,யோகத்தின்
renton,ரென்டின்,ரெண்டன்
magaaveer,மகாவிர்,மகாவீர்
saashai,சாகைய___________________,சாஸை
basirhat,பாிிரத்,பசிர்ஹட்
panigalukkum,பணிகளுக்குு்,பணிகளுக்கும்
kulamum,குலமும்,குளமும்
kayitrril,கயிற்றில்,கயிற்றில்
vilaiyaadudhal,விளையாடுதத்,விளையாடுதல்
fitzgerald,பிட்டிக்்ட்,பிட்ஸ்ஜெரால்ட்
modern,மூட்ன்்,மாடன்
kota,கோட்்,கோடா
kartu,கர்டு,சிம்
kalluriyaga,கள்ளுறையா,கல்லூரியாக
iththittathirkku,இத்திர்க்்ததகக்,இத்திட்டத்திற்கு
thanithaniyaga,தனியாியா,தனித்தனியாக
kark,கர்்க,கார்க்
vaelaiyin,வேலையின்,வேலையின்
maattruvathai,மாற்றுவதை,மாற்றுவதை
uruppugal,உருப்புகள்,உறுப்புகள்
vaippaar,வைப்பார்,வைப்பார்
braamanarkalum,பிராமம்்கககக்,பிராமணர்களும்
adiyiliyaal,அடியிலிலால்,அடியிலியால்
kezh,கெழு,கேள்
thadaip,தடைப்,தடைப்
panguthaarargal,பங்துக்்கககக்,பங்குதாரர்கள்
pudhuvaiyai,புதுவையை,புதுவையை
thadaipattathu,தடைபட்தது,தடைபட்டது
kaimari,கைமரி,கைமாறி
ouil,ஓய்லி,ஆயில்
santos,சே்்டிஸ்,சான்டோஸ்
seithiyaalargalukum,செய்தியாககககககககும்,செய்தியாளர்களுக்கும்
pudhumaigalai,புதுமைைை,புதுமைகளை
meemanjai,மீமானனை,மீமாஞ்சை
padhivar,பதிவர்,பதிவர்
seluththappadavendum,செலுத்தப்படுவவனனன்்,செலுத்தப்படவேண்டும்
thoguppin,தொகுப்பின்,தொகுப்பின்
eduththirukkirathu,எடுத்திருக்க்க்்,எடுத்திருக்கிறது
chudalai,சுடலைய,சுடலை
yokkiyargalukku,யோக்கியரககககுகு,யோக்கியர்களுக்கு
ippothea,இப்பித்,இப்போதே
anupiyullathu,அணுபியுளுகும்,அனுப்பியுள்ளது
leakin,லியிக்,லீக்கின்
anuraathapuram,அனுராப்ுமும்,அனுராதபுரம்
oliparappittu,ஒலிபப்பட்ட்ட்,ஒளிபரப்பிட்டு
nanmaigalaip,நம்மைகக்க்,நன்மைகளைப்
gooldain,கூல்டின்,கோல்டன்
uruvaakkaththirku,உருவாக்கததத்ககக்,உருவாக்கத்திற்கு
maraala,மராலா,மரால
santana,சண்டன்,சான்டானா
paes,பேஸோ,ஃபேஸ்
vikraman,விக்ரமான,விக்கிரமன்
azhugai,அழுகை,அழுகை
oruvar,ஒருவர்,ஒருவா்
bayangaravaathigal,பயங்கர்வாவககக்,பயங்கரவாதிகள்
jappaanin,ஜப்பானனனன,ஜப்பானின்
bisiyaaga,பிசியாக,பிசியாக
wells,வெல்ல்ச்,வெல்ஸ்
pasukkalin,பகுக்களில்,பசுக்களின்
enggo,எங்கோ,எங்கோ
hempstead,ஹெம்மரரட்ட்்,ஹெம்ப்ஸ்டெட்
kidanthanar,கிடந்தத்ன்,கிடந்தனர்
kuriththullaargal,குறித்துள்களளளள்,குறித்துள்ளார்கள்
dae,டேய்,டை
kadidhamum,கடிமமும்,கடிதமும்
alakiyaana,அலகியான்,அழகியான
sangaththai,சங்கதைதை,சங்கத்தை
thirunthiyirikkirar,திருந்திரிகிகியின்,திருந்தியிருக்கிறார்
masuthiyai,மசுதியை,மசூதியை
thogaiyaanthu,தொகையானுது,தொகையானது
adhumattumalla,அதுமட்ட்்லல்,அதுமட்டுமல்ல
odissi,ஒடிச்சி,ஒடிசி
samapangku,சமஙகககக,சமபங்கு
kedaaiyaa,கேடையா,கெடாய்ய
soazhargalukku,சோலக்குகளககு,சோழர்களுக்கு
aarppaattangal,ஆர்ப்பட்ட்ட்க்்,ஆர்ப்பாட்டங்கள்
dhakshinaamoorthy,தக்சியினானதனன,தட்சிணாமூர்த்தி
kaithigalai,கைதிகளை,கைதிகளை
pazhani,பழனி,பழநி
seenitthovai,சீனித்திவை,சீனித்தொவை
gaines,கைன்ச்,கைனெஸ்
ezhuthiyirukkiraargal,எழுதியிரிக்கிக்க்்்,எழுதியிருக்கிறார்கள்
kakinada,கதிடன்,காகினாடா
kidaikkaadhadhaal,கிடைக்காதததத்,கிடைக்காததால்
tayde,தேே்்,டேடே
pirammaththai,பிரம்தததத,பிரம்மத்தை
moolzhgadikkappatta,மூல்க்கக்ட்ட்ட்ட்,மூழ்கடிக்கப்பட்ட
kontirunta,கொண்டிற்ன்,உறங்கிக்
piraroodu,பிரரோடு,பிறரோடு
matkalangaley,மட்கள்களைகள்,மட்கலன்களே
kaaranamaagum,காராமமுமம்,காரணமாகும்
ayiathimuka,அயிதிமுக்,அஇஅதிமுக
loova,லூவா,லோவ
meenkalaiyum,மீண்களையும்,மீன்களையும்
vakuththaal,வகுத்துள்,வகுத்தால்
muthalvarai,முதல்வவ்,முதல்வரை
kaattrae,காற்றே,காற்றே
thalaynagaram,தலல்காாமம்,தலைநகரம்
thiranaaligalukkaana,திரனனளிகளககககக்,மாற்றுத்
atkinson,அட்கின்ன்,அட்கின்சன்
yuuee,யோய்,யூ
kurukkup,குறுக்குப்,குறுக்குப்
fertilizers,பெர்டில்ச்ல்,ஃபெர்டிலைசர்ஸர்ஸ்
lancaster,லா்்ச்்்்்,லான்செஸ்டர்
kanavanathu,கணவதுத,கணவனது
thuruvam,துருமவு,துருவம்
thulai,துலைய,துளை
sarbia,சரிபிய,செர்பியா
thunburuththal,துன்புப்தததத்,துன்புறுத்தல்
kampalattu,கம்பட்டடட,கம்பளத்து
yoorik,யூரிக்,யூரிக்
koottappatta,கூட்டப்படட்,கூட்டப்பட்ட
agachchiththarippu,அகச்சித்த்ப்ப்ப்,அகச்சித்தரிப்பு
uraiyaadalgalai,உரையாடளைகள்,உரையாடல்களை
seyalpatatha,செயல்பட்,செயல்படாத
kaalakattaththil,காலகட்தததததல்,காலகட்டத்தில்
pesinen,பெனியின்,பேசினேன்
karuthippaarththu,கருதிப்பத்ததத்்,கருதிப்பார்த்து
rivas,ரிவச்,ரிவாஸ்
arellano,அரலல்லன்,அரில்லானோ
symon,ஸ்ம்லோ,சைமன்
saaradhigal,சாதாிகள்,சாரதிகள்
vaethangkalil,வேதங்களில்,வேதங்களில்
seyalpaduthal,செயல்பட்தத்,செயல்படுதல்
vendum,வெண்டும்,குளிக்க
ekapoakam,எககோோ்,ஏகபோகம்
thankich,தங்கிக்,தங்கிச்
therinthirunthavar,தெரிந்துரிவிர்த்,தெரிந்திருந்தவர்
puunakariyil,புபனிரிிி,பூநகரியில்
porundhavillai,பொருந்தவவலலல்,பொருந்தவில்லை
pinvaanginaar,பின்வான்க்க்ன்,பின்வாங்கினார்
koppai,கோப்பை,கோப்பை
matravargalaith,மற்றவிக்கள்,மற்றவர்களைத்
weils,வெய்ஸ்ச,வெல்ஷ்
kilappi,கிளப்பி,கிளப்பி
varukinrana,வருகின்ன்,உலா
puratti,புடட்டி,புரட்டி
kalviyaandu,கல்வியிடுட்,கல்வியாண்டு
naangalum,நாங்களும்,நாங்களும்
uruvaakkal,உருவாக்கள்,உருவாக்கல்
laal,லால்,ளால்
varuvaay,வருவாய்,வருவாய்
poivittaar,பொல்விட்ட்ட்,போய்விட்டார்
wheel,வெல்,வீல்
mishra,மிர்ஸ்,மிஸ்ரா
solren,சொல்லின்,சொல்றேன்
kaividappadugiraargal,கிவிபட்பட்்்்்்்்்்,கைவிடப்படுகிறார்கள்
seiyappattiruppaar,செய்பப்பட்ப்பட்்்்்,செய்யப்பட்டிருப்பார்
aarvaththaik,ஆர்வத்த்க்,ஆர்வத்தைக்
vaattara,வாட்டர்,வாட்டர்ஸ்
paantavarkalai,பாண்டவரளளள்,பாண்டவர்களை
pathikkaththaan,பதிக்கத்ததன்,பதிக்கத்தான்
ezhuthiyulla,எழுதியில்ல்,எழுதியுள்ள
gudepu,குடுப்,குடேபு
alambiththudaiththu,அலம்பிதிதுததததத்,அலம்பித்துடைத்து
kallurigazhum,கல்ளுருகுமம்,கல்லூரிகளும்
deerfield,டீர்டளிட்ட்,டீர்ஃபீல்டு
raentam,ரேந்டம்,ரேண்டம்
padigalin,படிகலின்,படிகளின்
isuzu,இசுகு,இசுசூ
moorththikal,மூர்த்திகள்,மூர்த்திகள்
therkkilirundhu,தெர்க்குறுதுதுத்,தெற்கிலிருந்து
laqchhami,லச்சமிி,லட்சுமி
valinadaththi,வளிநதததத்,வழிநடத்தி
emilie,எமிலில்,எமிலி
gardan,கர்டன்,கார்டன்
santharppankal,சந்தத்ப்்ககக்,சந்தர்ப்பங்கள்
pirachurankal,பிரச்சர்களகக,பிரசுரங்கள்
kavalaiye,கவலைய,கவலையே
ezhundhukkum,எழுந்துகுகும்,எழுந்துக்கும்
gudd,குட்ட,குட்
dasila,டாசில,டசில்லா
vetridaththil,வெட்டிதத்ததல்,வெற்றிடத்தில்
chennai,சென்னை,சென்னை
unarndhirundhaan,உணர்ந்தின்ன்னனன்,உணர்ந்திருந்தான்
kelvih,கெல்வி,கேள்விஃ
texas,ட்க்்ச்்,டெக்சாஸ்
matravargal,மற்றவரகள்,மற்றவர்கள்
adiyum,அடியும்,அடியும்
earkanavae,ஈர்கனவவ,ஏற்கனவே
santhan,சந்தன்,சாந்தன்
wedik,வெடிக்,வேதக்
kaavalthuraik,கவவர்த்க்க,காவல்துறைக்
thodarpalar,தொடர்பப்்,தொடர்பாளர்
karanamaakum,கரமா்கும்,காரணமாகும்
shimman,சிம்மம்,சிம்மன்
patrick,பட்டிக்க்,பேட்ரிக்
lamb,லா்்ப,லாம்ப்
balmer,பார்மேர,பால்மெர்
vitum,விதும்,கலந்து
redding,ரெட்டிக்,ரெட்டிங்
kadidhangalum,கடிதங்களும்,கடிதங்களும்
birlasoft,பிர்லல்ட்ட்,பிர்லாஸாஃப்ட்
sollappadupavargalum,சொல்லப்பபுுுுுுுுு்,சொல்லப்படுவர்களும்
prabhoo,பிரப்ப,பிரபு
redwood,ரெட்டிட்,ரெட்வுட்
kalra,கல்ரா,கல்ரா
napa,நபன்,நபா
nigazhchiyum,நிகழ்சிமும்,நிகழ்ச்சியும்
mutiyala,முடியலல,முடியல
perundhaabam,பெருந்துமம்,பெருந்தாபம்
harres,ஹரர்்்,ஹாரிஸ்
solvathaga,சொல்வத்்,சொல்வதாக
piramukar,பிரமுகர்,பிரமுகர்
idaodhikkeedu,இடதிக்குடு,இடஒதுக்கீடு
vaelaigalum,வேலைகளும்,வேலைகளும்
koottangalukku,கூட்டங்களுகுக்,கூட்டங்களுக்கு
mahaveerar,மவாவரரர,மகாவீரர்
bula,புலல்,போலா
aaivukku,ஆய்வுக்கு,ஆய்வுக்கு
koottangalai,கூட்டங்களை,கூட்டங்களை
passaic,சசசச்சி,பசாய்க்
asoq,அசோக்,அசோகா
gouuld,கோல்ட்,கோல்ட்
ullatakkum,உள்லட்ககும்,உள்ளடக்கும்
thayaarippathundu,தயாரபப்படுதுு்,தயாரிப்பதுண்டு
inththiyaavirkul,இந்தியிறிகிககக்,இந்தியாவிற்குள்
araku,அரகு,அரக்கு
narambugalai,நரம்புகளை,நரம்புகளை
panigalukkup,பணிகள்க்குக்,பணிகளுக்குப்
okay,ஓகக்,ஓகே
nigalvugazhaiyum,நிகல்வுவைையும்,நிகழ்வுகளையும்
irukkinroom,இருக்கின்ன்,இருக்கின்றோம்
aazhthulai,ஆழ்துலை,ஆழ்துளை
kalvikkaana,கல்விக்கான்,கல்விக்கான
kovai,கோவை,கோவை
alaiyum,அலையும்,அலையும்
kulithu,குளிது,குளித்து
odisii,ஒடிசிய,ஒடிசி
sedhamadaindhu,செததததத்னு,சேதமடைந்தது
yeraalam,யாலமால்,ஏராளம்
tokaiyin,தொகியின்,தொகையின்
arignargalinaalum,அரிக்்ள்களகளளளம்,அறிஞர்களினாலும்
cheyalmuraiku,செயல்முகளககு,செயல்முறைக்கு
vidhiththu,விதித்து,விதித்து
kontiruntha,கொண்டிருந்ன்,உறங்கிக்
kuudum,குமும்,கூடும்
thamizhakatthilirundhu,தமிழ்்த்த்த்துது்,தமிழகத்திலிருந்து
vilaiyaaduthal,விளையாட்தத்,விளையாடுதல்
maddox,மடட்டிக்,மட்டோக்ஸ்
vaangguthal,வாங்குதத்,வாங்குதல்
cheyn,செய்ன்,செயின்
puriginrana,புரியின்ன்,புரிகின்றன
aathmaa,ஆத்மா,ஆத்மா
kitantanar,கிடன்டர்ன்,கிடந்தனர்
kettathu,கேட்டது,கேட்டது
alavugal,அலவுகள்,அளவுகள்
ganeebaa,கனாபா,கனீபா
kidaikkinra,கிடைக்கின்,கிடைக்கின்ற
seetu,சீடுக்,சிட்டு
syriyap,ஸிரியப்ப,சிரியப்
masuuthiyai,மசுதியைய,மசூதியை
akkanitha,அக்கனிதத,அக்கணித
jallian,ஜல்லின்,ஜாலியன்
yerpaduvathudan,யேர்பட்டடடடு,ஏற்படுவதுடன்
ahmedabadil,அம்த்்படலல,அகமதாபாத்தில்
ennaa,என்னா,என்னா
saraikela,சரைகளலல,சரைகேலா
veliyaagiyirundhaal,வெளியாக்யிர்த்தால்,வெளியாகியிருந்தால்
valanguvathai,வழங்குவதை,வழங்குவதை
rishiraj,ரிஜிரா்,ரிஷிராஜ்
mandaavar,மன்டவரர்,மண்டாவர்
nawin,நாிின,நவீன்
venmaippuratchiyin,வென்மைப்ப்படிிிிி்,வெண்மைப்புரட்சியின்
thalaivarai,தலைவரை,தலைவரை
suvaachiththirukkum,சுவாசிக்குகுகுகுது,சுவாசித்திருக்கும்
vadamaagaana,வடமாாா,வடமாகாண
nyaayirandru,யாயிருறறு,ஞாயிறன்று
cankath,கங்கத்,சங்கத்
iraingaaname,இரைங்கானன,இறைஞானமே
kolupil,கொலுபில்,கொழுப்பில்
nadunilaip,நடுணின்ப்,நடுநிலைப்
webster,வெய்கரர்்,வெப்ஸ்டர்
ramon,ராமனன்,ரமோன்
vaakanangkalin,வாகஙங்களின்,வாகனங்களின்
kaalanigal,காலலிகள்,காலணிகள்
aanthai,ஆந்தை,ஆந்தை
avarooda,அவரோட,அவரோட
mcdowell,ம்ட்டில்ட்,மெக்டோவெல்
seiyyappattapothu,செய்யப்பபபபடுதது,செய்யப்பட்டபோது
pugaaril,புகாரில்,புகாரில்
sengkuththaana,செங்குத்தன்,செங்குத்தான
magatha,மகத்,மகத
infraprojects,இன்பப்ப்்்்்்்்,இன்ஃப்ராபிராஜெக்ட்ஸ்
vanurti,வருற்டி,உலங்கு
thadangkalil,தடல்களில்,தடங்களில்
kulaththirku,குளத்துக்கு,குளத்திற்கு
durgai,டுக்கை,துர்க்கை
bee,பீன்,பீ
kabulil,கபுலில்,காபூலில்
madala,மடலல்,மடலா
shashthrigal,ஷஸ்திரகள்,சாஸ்திரிகள்
nadandhabothu,நடந்ததுத்,நடந்தபோது
raenjch,ரீஞ்ச்,ரேஞ்ச்
kolhapur,கொழருப்,கோலாபூர்
irusakkara,இருசக்கா,இருசக்கர
church,சுர்ச்,சர்ச்
velip,வெளிப்,வெளிப்
asramm,அஸ்ரமமம்,ஆசிரமம்
overgal,ஒவ்ரரகள்,ஓவர்கள்
nalliravu,நல்லுவவ்,நள்ளிரவு
baarathiyaar,பாரரிரரர்,பாரதியார்
athishta,அதிட்ட,அதிஷ்ட
poaraan,போரான்,போரான்
vaerldu,வேர்ல்டு,வேர்ல்டு
glycols,கிள்கள்ட்்,க்ளைகால்ஸ்
ariyum,அரியும்,அறியும்
swamigalaippatri,ஸ்வாமிிக்பபபப்்,சுவாமிகளைப்பற்றி
seyint,செயின்ட்,செயிண்ட்
bareli,பரரலி,பரேலி
vaangavum,வாங்கவும்,வாங்கவும்
edukkumaaru,எடுக்குமாரு,எடுக்குமாறு
kandippa,கண்டிப்ப்,கண்டிப்பா
madgaon,மடகக்ன்,மட்காவுன்
uththiyogaththil,உத்தியிதததததத்,உத்தியோகத்தில்
pukazhpettravai,புகழ்பிவிவ்வ்,புகழ்பெற்றவை
tinsukia,தின்சிக்,டின்சுகியா
ashraf,அஷ்ரர்,அஷ்ரஃப்
porulaagaum,பொருளாகளம்,பொருளாகும்
akaththi,அகத்தி,அகத்தி
seyyulgal,செய்ளுளளகள்,செய்யுள்கள்
oottappattullaarkal,ஓட்டப்பட்்்்்்்ளளள்்,ஊட்டப்பட்டுள்ளார்கள்
vaiththiyam,வைத்தியம்,வைத்தியம்
matravargalthaan,மற்றவர்்்கக்்,மற்றவர்கள்தான்
aegis,ஏகிச்,ஏஜிஸ்
adangkiyulla,அடங்குளுள்,அடங்கியுள்ள
appothe,அப்பித்,அப்போதே
young,யோன்க___________________,யங்
bhopal,போபல்,போபால்
aangalaik,ஆங்களைக்,ஆண்களைக்
panigalin,பணிகளில்,பணிகளின்
moody,மூட்ட,மூடி
azhaga,அழக்,அழகா
hendrix,ஹென்றிக்க,ஹென்ட்ரிக்ஸ்
kannoottatthil,கண்ணிட்டததத்்,கண்ணோட்டத்தில்
yakima,யகிகா,யகிமா
saunders,சேண்டர்்்,சௌந்தர்ஸ்
kulanggalaiyum,குலங்களியும்,குளங்களையும்
joliet,ஜோலிட்ட,ஜோலியட்
valakkukalukku,வளக்குகுுகுு்,வழக்குகளுக்கு
kurdu,குற்டு,குர்து
thompson,தொம்மான்,தாம்ப்சன்
ariviththirunthathu,அறிவிதுதுதுதுது,அறிவித்திருந்தது
viil,வில்,வீல்
kavali,கவலி,கவலை
malarkalaiyum,மலல்களையும்,மலர்களையும்
budaun,புடான்,புதான்
nanmaikal,நம்காகக்,நன்மைகள்
naangalaum,நாங்களும்,நாங்களும்
twin,திவ்னி,ட்வின்
antioch,அண்டிச்ச்,ஆன்டியோச்
veliyidappadavillai,வெளியிடப்படிடிலலல,வெளியிடப்படவில்லை
pandavargalil,பண்டவர்ளளள்்,பாண்டவர்களில்
alam,அலம்,ஆலம்
sadaamudiyan,சடமமிடிடின,சடாமுடியன்
parakkum,பரக்கும்,பறக்கும்
saaiman,சாம்னன்,சைமன்
valarppaith,வளர்ப்பித்,வளா்ப்பைத்
adadaa,அடடா,அடடா
maadhangalilume,மாதங்களுலும்,மாதங்களிலுமே
yookam,யோகம்,யோகம்
kurainthae,குறைந்து,குறைந்தே
tiwari,திவரிர,திவாரி
padaiyaniyum,படையயியும்,படையணியும்
palu,பலுள்,பளு
sangamaga,சங்கமா,சங்கமாக
muraimaikalai,முறைமைகளை,முறைமைகளை
paduththiya,படுத்தி,படுத்திய
vealaiyaiyum,வீயையையும்,வேலையையும்
seiyappattiruntha,செய்பப்பட்ட்ட்்்்,செய்யப்பட்டிருந்த
ataher,அதத்்,அடஹெர்
neeroattaththil,நீருந்டததததல்,நீரோட்டத்தில்
seiyalattiryavargalaiyum,செய்யல்வ்்்கககககளளு்,செயலாற்றியவர்களையும்
avathikullaakuvaar,அவவிவுக்க்ளளககக்,அவதிக்குள்ளாக்குவார்
adiittii,அடிட்டிட்,அதிதி
esuppaaniya,எனுப்பாயிய,எசுப்பானிய
chuttik,சுட்டிக்,சூட்டிக்
munaipunilaiyaaga,முனைப்பியையைம்,முனைப்புநிலையாக
piramaandamaana,பிரமானாடனன,பிரமாண்டமான
communications,கோம்மமிி்்ினன்,கம்யூனிகேஷன்ஸ்
polaagivittadhey,பொலுவியிட்ட்டதத,போலாகிவிட்டதே
nuraiyeeral,நுறையிர்,நுரையீரல்
inraikkum,இனைக்குகும்,இன்றைக்கும்
sandhiya,சந்திய,சந்தியா
saemikkappattullathu,சேமிக்கப்பட்ட்ட்ள்்,சேமிக்கப்பட்டுள்ளது
shaji,ஷாிிி___________________,ஷாஜி
neemuch,நீமுக்,நீமச்
yekspoa,யெய்போப்,எக்ஸ்போ
arundhivittom,அருந்திவிடிட்,அருந்திவிட்டோம்
pannividuvaargalo,பண்ணிவிற்க்க்கக்,பண்ணிவிடுவார்களோ
siththaantha,சித்தாத்த,சைவ
kavalaiyil,கவலையில்,கவலையில்
forest,போரோஸஸ்,ஃபாரெஸ்ட்
gupta,குப்ட,குப்தா
padaththaiyum,படத்தையும்,படத்தையும்
kuuttankalin,குட்டங்களின்,கூட்டங்களின்
poattiyaandahu,போட்டியாடானா,போட்டியானது
thiran,திரன்,திறன்
kkalin,கிகலின்,க்களின்
daiie,டையா,டை
padaithan,படைநன்,படைத்தான்
peraniyil,பெரினலில்,பேரணியில்
microsaaft,மிக்ரோட்ட்்,மைக்ரோசாப்ட்
mcclain,ம்க்லில்ன,மெக்லன்
pattakaararaana,பட்டக்ராாா,பட்டகாரரான
ithevealai,இதேவைலை,இதேவேளை
