Input,Prediction,Target
eduththirukkirathu,கடுத்திருக்கிறது,எடுத்திருக்கிறது
chudalai,சுடலை,சுடலை
yokkiyargalukku,சோக்கியர்களுக்கு,யோக்கியர்களுக்கு
ippothea,மப்பொத்,இப்போதே
anupiyullathu,வனுபியுள்ளது,அனுப்பியுள்ளது
leakin,செகின்,லீக்கின்
anuraathapuram,அனுராதபுரம்,அனுராதபுரம்
oliparappittu,பலிபரப்பிட்டு,ஒளிபரப்பிட்டு
nanmaigalaip,வன்மைகளைப்,நன்மைகளைப்
gooldain,சோல்டைன்,கோல்டன்
uruvaakkaththirku,கருவாக்கத்திற்கு,உருவாக்கத்திற்கு
maraala,மரால,மரால
santana,சான்டனா,சான்டானா
paes,ஹேஸ்,ஃபேஸ்
vikraman,மிக்ரமன்,விக்கிரமன்
azhugai,மழுகை,அழுகை
oruvar,பருவர்,ஒருவா்
bayangaravaathigal,சயங்கரவாதிகள்,பயங்கரவாதிகள்
jappaanin,சப்பானின்,ஜப்பானின்
bisiyaaga,சிசியாக,பிசியாக
wells,டெல்ஸ்,வெல்ஸ்
pasukkalin,பசுக்களின்,பசுக்களின்
enggo,கஙங்கோோ_________________,எங்கோ
hempstead,செம்ப்ஸ்டடடடட்,ஹெம்ப்ஸ்டெட்
kidanthanar,கிடந்தனர்,கிடந்தனர்
kuriththullaargal,குறித்துள்ளார்கள்,குறித்துள்ளார்கள்
dae,மேேே,டை
kadidhamum,கடிதமும்,கடிதமும்
alakiyaana,வலகியான,அழகியான
sangaththai,சங்கத்தை,சங்கத்தை
thirunthiyirikkirar,விருந்தியிரிக்கிறர்,திருந்தியிருக்கிறார்
masuthiyai,வசுதியை,மசூதியை
thogaiyaanthu,வொகையாந்து,தொகையானது
adhumattumalla,இதுமட்டுமல்ல,அதுமட்டுமல்ல
odissi,படிஸிிி,ஒடிசி
samapangku,சமபங்கு,சமபங்கு
kedaaiyaa,செடாய்யா,கெடாய்ய
soazhargalukku,சோழர்களுக்கு,சோழர்களுக்கு
aarppaattangal,வர்ப்பாட்டங்கள்,ஆர்ப்பாட்டங்கள்
dhakshinaamoorthy,வக்ஷினாமூர்த்தி,தட்சிணாமூர்த்தி
kaithigalai,கைதிகளை,கைதிகளை
pazhani,பழனி,பழநி
seenitthovai,சீனித்தோவை,சீனித்தொவை
gaines,சைனனஸ்,கைனெஸ்
ezhuthiyirukkiraargal,கழுதியிருக்கிறார்கள்,எழுதியிருக்கிறார்கள்
kakinada,ககினடா,காகினாடா
kidaikkaadhadhaal,கிடைக்காததால்,கிடைக்காததால்
tayde,டேத்ட்,டேடே
pirammaththai,பிரம்மத்தை,பிரம்மத்தை
moolzhgadikkappatta,வூல்ழ்கடிக்கப்பட்ட,மூழ்கடிக்கப்பட்ட
kontirunta,கொண்டிருந்ட,உறங்கிக்
piraroodu,பிரரூடு,பிறரோடு
matkalangaley,மட்களங்களேய்,மட்கலன்களே
kaaranamaagum,சாரணமாகும்,காரணமாகும்
ayiathimuka,அயியதிமுக,அஇஅதிமுக
loova,சூவா,லோவ
meenkalaiyum,வீன்களையும்,மீன்களையும்
vakuththaal,வகுத்தால்,வகுத்தால்
muthalvarai,வுதல்வரை,முதல்வரை
kaattrae,சாற்றே,காற்றே
thalaynagaram,வலைநாகரமம,தலைநகரம்
thiranaaligalukkaana,விரணாளிகளுக்கான,மாற்றுத்
atkinson,மட்கின்சனன்,அட்கின்சன்
yuuee,சூயூ,யூ
kurukkup,குறுக்குப்,குறுக்குப்
fertilizers,செர்டிடிி்ஸஸ்்__________,ஃபெர்டிலைசர்ஸர்ஸ்
lancaster,சான்சஸ்டர்்,லான்செஸ்டர்
kanavanathu,கனவனது,கணவனது
thuruvam,வுருவம்,துருவம்
thulai,முளை,துளை
sarbia,சர்பியா,செர்பியா
thunburuththal,வுன்புருத்தல்,துன்புறுத்தல்
kampalattu,சம்பலத்டு,கம்பளத்து
yoorik,சூரிக்,யூரிக்
koottappatta,கூட்டப்பட்ட,கூட்டப்பட்ட
agachchiththarippu,வகச்சித்தறிப்பு,அகச்சித்தரிப்பு
uraiyaadalgalai,சரையாடல்களை,உரையாடல்களை
seyalpatatha,செயல்படத,செயல்படாத
kaalakattaththil,காலகட்டத்தில்,காலகட்டத்தில்
pesinen,ஹெசினனன்,பேசினேன்
karuthippaarththu,கருதிப்பார்த்து,கருதிப்பார்த்து
rivas,சிவச்,ரிவாஸ்
arellano,பரெல்லனனோ,அரில்லானோ
symon,சிமோன்,சைமன்
saaradhigal,சாரதிகள்,சாரதிகள்
vaethangkalil,வேதங்களில்,வேதங்களில்
seyalpaduthal,செயல்படுதல்,செயல்படுதல்
vendum,மெண்டும்,குளிக்க
ekapoakam,சகபோகம்,ஏகபோகம்
thankich,தங்கிச்,தங்கிச்
therinthirunthavar,வெரிந்திருந்தவர்,தெரிந்திருந்தவர்
puunakariyil,குனகரியில்,பூநகரியில்
porundhavillai,பொருந்தவில்லை,பொருந்தவில்லை
pinvaanginaar,பின்வாங்கினார்,பின்வாங்கினார்
koppai,சொப்பை,கோப்பை
matravargalaith,வற்றவர்களைத்,மற்றவர்களைத்
weils,டெய்ல்ஸ்,வெல்ஷ்
kilappi,கிளப்பி,கிளப்பி
varukinrana,வருகின்றன,உலா
puratti,புரட்டி,புரட்டி
kalviyaandu,கல்வியாண்டு,கல்வியாண்டு
naangalum,வாங்களும்,நாங்களும்
uruvaakkal,கருவாக்கள்,உருவாக்கல்
laal,சால்,ளால்
varuvaay,வருவாய்,வருவாய்
poivittaar,பொய்விட்டார்,போய்விட்டார்
wheel,பீல்,வீல்
mishra,மிஷ்ர,மிஸ்ரா
solren,சோல்ரென்,சொல்றேன்
kaividappadugiraargal,கைவிடப்படுகிறார்கள்,கைவிடப்படுகிறார்கள்
seiyappattiruppaar,செய்யப்பட்டிருப்பார்,செய்யப்பட்டிருப்பார்
aarvaththaik,வர்வத்தைக்,ஆர்வத்தைக்
vaattara,மாட்டர,வாட்டர்ஸ்
paantavarkalai,பாண்டவர்களை,பாண்டவர்களை
pathikkaththaan,கதிக்கத்தான்,பதிக்கத்தான்
ezhuthiyulla,கழுதியுள்ள,எழுதியுள்ள
gudepu,சுடெபு,குடேபு
alambiththudaiththu,வலம்பித்துடைத்து,அலம்பித்துடைத்து
kallurigazhum,கல்ளுரிகழும்,கல்லூரிகளும்
deerfield,டீர்பியல்்ட்்___________,டீர்ஃபீல்டு
raentam,சேண்டம்,ரேண்டம்
padigalin,கடிகளின்,படிகளின்
isuzu,மசுழு,இசுசூ
moorththikal,வூர்த்திகள்,மூர்த்திகள்
therkkilirundhu,வெர்க்கிலிருந்து,தெற்கிலிருந்து
laqchhami,சா்்சமமம________________,லட்சுமி
valinadaththi,வலினடத்தி,வழிநடத்தி
emilie,கமிழிய_,எமிலி
gardan,சரர்டன்,கார்டன்
santharppankal,சந்தர்ப்பங்கள்,சந்தர்ப்பங்கள்
pirachurankal,பிரசுசுரங்கள்,பிரசுரங்கள்
kavalaiye,கவலையே,கவலையே
ezhundhukkum,சழுந்துக்கும்,எழுந்துக்கும்
gudd,சுட்ட்,குட்
dasila,மாசிலா,டசில்லா
vetridaththil,வெற்றிடத்தில்,வெற்றிடத்தில்
chennai,சென்னை,சென்னை
unarndhirundhaan,சணர்ந்திருந்தான்,உணர்ந்திருந்தான்
kelvih,கெல்விஹ_________________,கேள்விஃ
texas,டெக்காஸ்,டெக்சாஸ்
matravargal,வற்றவர்கள்,மற்றவர்கள்
adiyum,வடியும்,அடியும்
earkanavae,கர்கணவே,ஏற்கனவே
santhan,சந்தன்,சாந்தன்
wedik,பெடிக்,வேதக்
kaavalthuraik,காவல்துறைக்,காவல்துறைக்
thodarpalar,மொடர்பலர்,தொடர்பாளர்
karanamaakum,கரணமாகும்,காரணமாகும்
shimman,சிம்மன்,சிம்மன்
patrick,பேற்ிகக்,பேட்ரிக்
lamb,சம்பப்__________________,லாம்ப்
balmer,சா்மமர்,பால்மெர்
vitum,மிட்மு,கலந்து
redding,செட்டிங்,ரெட்டிங்
kadidhangalum,கடிதங்களும்,கடிதங்களும்
birlasoft,சிர்லசோஸ்்்்்்__________,பிர்லாஸாஃப்ட்
sollappadupavargalum,சொல்லப்படுபவர்களும்,சொல்லப்படுவர்களும்
prabhoo,பிரபபோ,பிரபு
redwood,செட்வூட்,ரெட்வுட்
kalra,சல்ரா,கல்ரா
napa,தபா,நபா
nigazhchiyum,விகழ்சியும்,நிகழ்ச்சியும்
mutiyala,வுடியலல,முடியல
perundhaabam,செருந்தாபம்,பெருந்தாபம்
harres,சரர்ரஸ்,ஹாரிஸ்
solvathaga,சொல்வதக,சொல்வதாக
piramukar,சிரமுகர்,பிரமுகர்
idaodhikkeedu,வடூதிக்கீடு,இடஒதுக்கீடு
vaelaigalum,வேலைகளும்,வேலைகளும்
koottangalukku,சோட்டங்களுக்கு,கூட்டங்களுக்கு
mahaveerar,வாவீீரர்,மகாவீரர்
bula,சுலா,போலா
aaivukku,வய்வுக்கு,ஆய்வுக்கு
koottangalai,கோட்டங்களை,கூட்டங்களை
passaic,பாஸசி,பசாய்க்
asoq,டாோக்்__________________,அசோகா
gouuld,சோல்ட்,கோல்ட்
ullatakkum,கள்ளடக்கும்,உள்ளடக்கும்
thayaarippathundu,வயாரிப்பதுண்டு,தயாரிப்பதுண்டு
inththiyaavirkul,வந்தியாவிற்குள்,இந்தியாவிற்குள்
araku,மரகு,அரக்கு
narambugalai,மரம்புகளை,நரம்புகளை
panigalukkup,பணிகளுக்குப்,பணிகளுக்குப்
okay,பகய்,ஓகே
nigalvugazhaiyum,விகல்வுகழையும்,நிகழ்வுகளையும்
irukkinroom,இருக்கின்றூம்,இருக்கின்றோம்
aazhthulai,மழ்துளை,ஆழ்துளை
kalvikkaana,கல்விக்கான,கல்விக்கான
kovai,சொவை,கோவை
alaiyum,வலையும்,அலையும்
kulithu,குளிது,குளித்து
odisii,படிசி,ஒடிசி
sedhamadaindhu,செதமடைந்து,சேதமடைந்தது
yeraalam,சராலம்,ஏராளம்
tokaiyin,அோகையின்,தொகையின்
arignargalinaalum,வறிஞர்களினாலும்,அறிஞர்களினாலும்
cheyalmuraiku,செயல்முறைகு,செயல்முறைக்கு
vidhiththu,விதித்து,விதித்து
kontiruntha,கொண்டிருந்த,உறங்கிக்
kuudum,குடும்,கூடும்
thamizhakatthilirundhu,வமிழகத்திலிருந்து,தமிழகத்திலிருந்து
vilaiyaaduthal,விளையாடுதல்,விளையாடுதல்
maddox,டேடடடக்்்்,மட்டோக்ஸ்
vaangguthal,வாங்குதல்,வாங்குதல்
cheyn,செய்ன்,செயின்
puriginrana,புரிகின்றன,புரிகின்றன
aathmaa,தத்மா,ஆத்மா
kitantanar,கிட்டன்டனர்,கிடந்தனர்
kettathu,கெட்டது,கேட்டது
alavugal,வலவுகள்,அளவுகள்
ganeebaa,சாேபா,கனீபா
kidaikkinra,கிடைக்கின்ற,கிடைக்கின்ற
seetu,சீடுது,சிட்டு
syriyap,சிரியப்,சிரியப்
masuuthiyai,வசுசியை,மசூதியை
akkanitha,வக்கணித,அக்கணித
jallian,சல்லியான்,ஜாலியன்
yerpaduvathudan,சற்படுவதுடன்,ஏற்படுவதுடன்
ahmedabadil,அஹ்மெடபடில்,அகமதாபாத்தில்
ennaa,சன்னா,என்னா
saraikela,சரைகெலலல________________,சரைகேலா
veliyaagiyirundhaal,வெளியாகியிருந்தால்,வெளியாகியிருந்தால்
valanguvathai,மலங்குவதை,வழங்குவதை
rishiraj,சிஷிராஜ்,ரிஷிராஜ்
mandaavar,வண்டாவர்,மண்டாவர்
nawin,மாவின்,நவீன்
venmaippuratchiyin,வெண்மைப்புரட்சியின்,வெண்மைப்புரட்சியின்
thalaivarai,வலைவரை,தலைவரை
suvaachiththirukkum,சுவாசித்திருக்கும்,சுவாசித்திருக்கும்
vadamaagaana,வடமாகான,வடமாகாண
nyaayirandru,வாயிரண்று,ஞாயிறன்று
cankath,சங்கத்,சங்கத்
iraingaaname,அறைங்கானமே,இறைஞானமே
kolupil,கொலுபில்,கொழுப்பில்
nadunilaip,வடுநிலைப்,நடுநிலைப்
webster,டெப்ஸ்டர்்,வெப்ஸ்டர்
ramon,சாமனன்,ரமோன்
vaakanangkalin,மாகனங்களின்,வாகனங்களின்
kaalanigal,காலனிகள்,காலணிகள்
aanthai,மந்தை,ஆந்தை
avarooda,மவரூட,அவரோட
mcdowell,மேக்டோவ்லலல்____________,மெக்டோவெல்
seiyyappattapothu,செய்ய்யப்பட்டபோது,செய்யப்பட்டபோது
pugaaril,புகாரில்,புகாரில்
sengkuththaana,செங்குத்தான,செங்குத்தான
magatha,மகத,மகத
infraprojects,பன்ப்ரரபபரரபஜ்்்்ஸ______,இன்ஃப்ராபிராஜெக்ட்ஸ்
vanurti,மனுர்டி,உலங்கு
thadangkalil,வடங்களில்,தடங்களில்
kulaththirku,குளத்திற்கு,குளத்திற்கு
durgai,முர்கை,துர்க்கை
bee,சீயோ,பீ
kabulil,கபுலலலல,காபூலில்
madala,மடலா,மடலா
shashthrigal,சஷ்த்ரிகள்,சாஸ்திரிகள்
nadandhabothu,வடந்தபொது,நடந்தபோது
raenjch,சேஞ்ச்,ரேஞ்ச்
kolhapur,சொல்லபுரர்,கோலாபூர்
irusakkara,அருசக்கரா_______________,இருசக்கர
church,சுர்ச்,சர்ச்
velip,வெளிப்,வெளிப்
asramm,மஸ்ரமமம,ஆசிரமம்
overgal,பவேர்கள்,ஓவர்கள்
nalliravu,வல்லிரவு,நள்ளிரவு
baarathiyaar,சாரதியார்,பாரதியார்
athishta,மதிஷ்டா,அதிஷ்ட
poaraan,போரான்,போரான்
vaerldu,வேர்ல்டு,வேர்ல்டு
glycols,சிளிகோல்ஸ்,க்ளைகால்ஸ்
ariyum,அறியும்,அறியும்
swamigalaippatri,சுவாமிகளைப்பப்றி,சுவாமிகளைப்பற்றி
seyint,செயின்ட்,செயிண்ட்
bareli,சரெலி,பரேலி
vaangavum,வாங்கவும்,வாங்கவும்
edukkumaaru,கடுக்குமாறு,எடுக்குமாறு
kandippa,கண்டிப்பா,கண்டிப்பா
madgaon,அட்கான்,மட்காவுன்
uththiyogaththil,கத்தியொகத்தில்,உத்தியோகத்தில்
pukazhpettravai,புகழ்பெற்றவை,புகழ்பெற்றவை
tinsukia,தின்சுகியா,டின்சுகியா
ashraf,மஷ்ரா்்,அஷ்ரஃப்
porulaagaum,பொருளாகும்,பொருளாகும்
akaththi,மகத்தி,அகத்தி
seyyulgal,செய்யுள்கள்,செய்யுள்கள்
oottappattullaarkal,பட்டப்பட்டுள்ளார்கள்,ஊட்டப்பட்டுள்ளார்கள்
vaiththiyam,வைத்தியம்,வைத்தியம்
matravargalthaan,வற்றவர்கள்தான்,மற்றவர்கள்தான்
aegis,டகிஸ்,ஏஜிஸ்
adangkiyulla,வடங்கியுள்ள,அடங்கியுள்ள
appothe,மப்போதே,அப்போதே
young,சூங்்்,யங்
bhopal,சோபலலலல_________________,போபால்
aangalaik,அங்களைக்,ஆண்களைக்
panigalin,கணிகளின்,பணிகளின்
moody,மூட்யி,மூடி
azhaga,மழக,அழகா
hendrix,சென்றிக்ஸ்,ஹென்ட்ரிக்ஸ்
kannoottatthil,கண்ணூட்டத்தில்,கண்ணோட்டத்தில்
yakima,சகிமா,யகிமா
saunders,சாண்டர்ஸ்,சௌந்தர்ஸ்
kulanggalaiyum,குலங்களையும்,குளங்களையும்
joliet,சோலியட்்,ஜோலியட்
valakkukalukku,வலக்குகளுக்கு,வழக்குகளுக்கு
kurdu,குர்டு,குர்து
thompson,மோம்ப்ஸோன்,தாம்ப்சன்
ariviththirunthathu,வறிவித்திருந்தது,அறிவித்திருந்தது
viil,மில்ல்,வீல்
kavali,கவலி,கவலை
malarkalaiyum,வலர்களையும்,மலர்களையும்
budaun,சுடுன்,புதான்
nanmaikal,மன்மைகள்,நன்மைகள்
naangalaum,வாங்களும்,நாங்களும்
twin,ட்வின்,ட்வின்
antioch,மன்டியோச்,ஆன்டியோச்
veliyidappadavillai,வெளியிடப்படவில்லை,வெளியிடப்படவில்லை
pandavargalil,கண்டவர்களில்,பாண்டவர்களில்
alam,பலம்,ஆலம்
sadaamudiyan,சடாமுடியன்,சடாமுடியன்
parakkum,கரக்கும்,பறக்கும்
saaiman,சாய்மன்,சைமன்
valarppaith,வலர்ப்பைத்,வளா்ப்பைத்
adadaa,தடடா,அடடா
maadhangalilume,வாதங்களிலுமே,மாதங்களிலுமே
yookam,சூகம்,யோகம்
kurainthae,குறைந்தே,குறைந்தே
tiwari,மிவாரி,திவாரி
padaiyaniyum,சடையணியும்,படையணியும்
palu,சலலு,பளு
sangamaga,சங்கமாக_________________,சங்கமாக
muraimaikalai,வுறைமைகளை,முறைமைகளை
paduththiya,கடுத்திய,படுத்திய
vealaiyaiyum,வெளையையும்,வேலையையும்
seiyappattiruntha,செய்யப்பட்டிருந்த,செய்யப்பட்டிருந்த
ataher,மதததே்்_________________,அடஹெர்
neeroattaththil,வீரோட்டத்தில்,நீரோட்டத்தில்
seiyalattiryavargalaiyum,செய்யலட்டிரியவர்களைம்,செயலாற்றியவர்களையும்
avathikullaakuvaar,வவதிகுள்ளாகுவார்,அவதிக்குள்ளாக்குவார்
adiittii,மடிி்டிடி,அதிதி
esuppaaniya,சசுப்பானிய,எசுப்பானிய
chuttik,சுட்டிக்,சூட்டிக்
munaipunilaiyaaga,வுனைபுநிலையாக,முனைப்புநிலையாக
piramaandamaana,பிரமாண்டமான,பிரமாண்டமான
communications,சமமமனனிிகக்்்்்_________,கம்யூனிகேஷன்ஸ்
polaagivittadhey,பொலாகிவிட்டதேய்,போலாகிவிட்டதே
nuraiyeeral,வுறையீரல்,நுரையீரல்
inraikkum,அன்றைக்கும்,இன்றைக்கும்
sandhiya,சந்திய,சந்தியா
saemikkappattullathu,சேமிக்கப்பட்டுள்ளது,சேமிக்கப்பட்டுள்ளது
shaji,சாஜி,ஷாஜி
neemuch,தீமுச்,நீமச்
yekspoa,சக்ஸ்போ,எக்ஸ்போ
arundhivittom,வருந்திவிட்டோம்,அருந்திவிட்டோம்
pannividuvaargalo,கண்ணிவிடுவார்களோ,பண்ணிவிடுவார்களோ
siththaantha,சித்தாந்த,சைவ
kavalaiyil,கவலையில்,கவலையில்
forest,ஹோரேஸ்ட்,ஃபாரெஸ்ட்
gupta,சுப்ட,குப்தா
padaththaiyum,சடத்தையும்,படத்தையும்
kuuttankalin,குட்டங்களின்,கூட்டங்களின்
poattiyaandahu,போட்டியாண்டது,போட்டியானது
thiran,மிரன்,திறன்
kkalin,க்களின்,க்களின்
daiie,மையே,டை
padaithan,சடைதன்,படைத்தான்
peraniyil,பெரனியில்,பேரணியில்
microsaaft,மிக்ரோசாப்்்்்,மைக்ரோசாப்ட்
mcclain,பேக்கிலனன்,மெக்லன்
